fie_season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2017/2018,Sabre,Mens,Senior,0.832,2.4185342663015315e-152,0.7741,1.2626768691842025e-118,0.9604,0.0,589
2018/2019,Sabre,Mens,Senior,0.8706,1.8214091728004392e-184,0.8369,4.141429445927911e-157,0.9608,0.0,594
2019/2020,Sabre,Mens,Senior,0.835,3.140342764932446e-103,0.8129,1.4100961487553643e-93,0.9578,3.0948558148039214e-213,392
2020/2021,Sabre,Mens,Senior,0.628,2.570157018466389e-25,0.6127,7.388849663665881e-24,0.8882,6.675476188056836e-75,218
2021/2022,Sabre,Mens,Senior,0.8961,1.6191580892975237e-178,0.8703,6.394011577246744e-156,0.9603,1.8368822546450134e-279,502
2022/2023,Sabre,Mens,Senior,0.8807,7.223411997981606e-211,0.8554,7.773068866410333e-186,0.9607,0.0,645
2023/2024,Sabre,Mens,Senior,0.8468,1.9525141368325117e-186,0.8395,3.4622544572284553e-180,0.9534,0.0,674
2024/2025,Sabre,Mens,Senior,0.85,3.0239608840348015e-211,0.8299,1.7197371761620853e-192,0.9584,0.0,753
2025/2026,Sabre,Mens,Senior,0.8471,1.3446594370856367e-219,0.822,7.717607942255966e-196,0.9544,0.0,794
2015/2016,Sabre,Mens,Veterans,0.898,2.589599655569625e-40,0.9039,1.249226254175678e-41,0.9164,9.265724544358214e-45,110
2016/2017,Sabre,Mens,Veterans,0.8205,1.0709274564245918e-29,0.8308,4.847636823800635e-31,0.8758,3.5686639100104396e-38,117
2023/2024,Sabre,Mens,Veterans,0.6838,5.489539443965335e-18,0.7299,2.1742663474157775e-21,0.9249,8.326422920675376e-52,121
2024/2025,Sabre,Mens,Veterans,0.6655,2.2176009422712404e-19,0.6845,8.12730206041092e-21,0.8909,1.737388817807639e-49,141
2015/2016,Sabre,Womens,Cadet,0.8551,4.850810351526536e-05,0.9321,4.241218231543346e-07,0.8712,2.3492858893897083e-05,15
2016/2017,Sabre,Womens,Cadet,0.7455,0.013330146315440054,0.9273,0.00011203450639397586,0.7697,0.009221952722215994,10
2017/2018,Sabre,Womens,Cadet,0.8915,3.5438509162421404e-06,0.9713,3.984002195792929e-10,0.9115,8.993608943214439e-07,16
2018/2019,Sabre,Womens,Cadet,0.9391,2.1413762781707986e-07,0.9286,5.867938270803344e-07,0.8996,4.980373809262114e-06,15
2024/2025,Sabre,Womens,Cadet,0.8439,1.5263928415825186e-06,0.9481,6.711681626030515e-11,0.8895,6.886272591970551e-08,21
2025/2026,Sabre,Womens,Cadet,0.8694,8.678602339781987e-52,0.9028,1.249228994028915e-61,0.9463,7.739700127621569e-82,165
2014/2015,Sabre,Womens,Junior,0.5624,5.200078502291999e-10,0.5571,8.142358559261758e-10,0.9494,4.099367534920307e-53,104
2015/2016,Sabre,Womens,Junior,0.6293,3.974229940545251e-11,0.5489,2.5650411221068605e-08,0.9526,1.0062598517496953e-46,89
2016/2017,Sabre,Womens,Junior,0.8032,1.6707079036788608e-26,0.7556,6.103739464821973e-22,0.9328,1.4735215562537812e-50,112
2017/2018,Sabre,Womens,Junior,0.6816,5.590907770237273e-18,0.6367,3.2262839935021666e-15,0.8986,9.708714853305118e-45,122
2018/2019,Sabre,Womens,Junior,0.7907,2.378723556259406e-30,0.7568,1.62051377049354e-26,0.9485,8.87763663395185e-69,136
2019/2020,Sabre,Womens,Junior,0.828,1.1384876304260164e-30,0.7816,2.5131674224140935e-25,0.9403,1.1713268779812163e-55,117
2020/2021,Sabre,Womens,Junior,0.6437,0.009607530819069442,0.5607,0.02967649609447474,0.9602,1.4253378150816159e-08,15
2021/2022,Sabre,Womens,Junior,0.7899,6.783283635401414e-28,0.8051,1.1211943442920129e-29,0.9363,9.977401003266223e-58,125
2022/2023,Sabre,Womens,Junior,0.8374,1.1983426761282649e-35,0.8272,4.259585220110756e-34,0.9294,1.037547772515622e-57,131
2023/2024,Sabre,Womens,Junior,0.7312,3.376170352934106e-26,0.6935,1.1105832603233656e-22,0.9402,1.2610639714348041e-70,149
2024/2025,Sabre,Womens,Junior,0.7396,8.353545422520049e-43,0.707,1.1347480368780828e-37,0.9395,1.1010222099682815e-112,240
2025/2026,Sabre,Womens,Junior,0.8187,4.575736177626885e-58,0.8129,1.2818884495440618e-56,0.9486,2.0221805065811534e-118,235
2014/2015,Sabre,Womens,Senior,0.7904,1.7169044458946944e-105,0.708,1.9085012376658358e-75,0.9549,2.158836619166918e-258,488
2015/2016,Sabre,Womens,Senior,0.8794,7.051500062867152e-154,0.8448,5.5147179786980856e-130,0.9572,7.73867995911136e-256,473
2016/2017,Sabre,Womens,Senior,0.8839,1.7505295253398733e-131,0.8496,5.984955821180646e-111,0.9667,4.124863262765172e-234,394
2017/2018,Sabre,Womens,Senior,0.8524,5.167602471500063e-124,0.8016,9.201143740083961e-99,0.9672,7.68826601395479e-260,435
2018/2019,Sabre,Womens,Senior,0.9034,1.4570049597393774e-170,0.8545,2.1671841096372787e-132,0.9629,9.357194104523341e-263,460
2019/2020,Sabre,Womens,Senior,0.8568,2.506145291230692e-107,0.8587,2.5382887734945437e-108,0.9639,2.0393613267080905e-212,368
2020/2021,Sabre,Womens,Senior,0.4467,8.159747964607339e-10,0.3852,1.8164616257139166e-07,0.8627,3.2137004005553717e-52,172
2021/2022,Sabre,Womens,Senior,0.9119,3.3810117155330245e-164,0.8825,2.3520376721387598e-139,0.968,1.3747184924912388e-253,421
2022/2023,Sabre,Womens,Senior,0.9278,8.815161973608951e-189,0.8997,4.852916595174221e-159,0.9716,5.4144449996242394e-275,438
2023/2024,Sabre,Womens,Senior,0.8974,5.763401093634944e-156,0.8746,2.9756829162805023e-138,0.9668,1.124466916305062e-258,435
2024/2025,Sabre,Womens,Senior,0.9052,9.659927170006678e-199,0.8761,9.063481412912985e-170,0.9679,0.0,531
